City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hualmay,PE,-11.0964,-77.6139,67.64,82,99,8.41,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,47.86,81,75,14.97,light rain
2,Kavieng,PG,-2.5744,150.7967,81.46,80,100,14.2,moderate rain
3,Hasaki,JP,35.7333,140.8333,61.2,80,95,21.3,overcast clouds
4,Bethel,US,41.3712,-73.414,52.38,77,90,8.01,overcast clouds
5,Punta Arenas,CL,-53.15,-70.9167,50.11,87,75,23.02,light intensity shower rain
6,Katsuura,JP,35.1333,140.3,63.19,83,100,20.0,overcast clouds
7,Matay,EG,28.419,30.7792,59.88,61,100,5.35,overcast clouds
8,Sala Consilina,IT,40.3912,15.5989,40.39,93,91,5.57,overcast clouds
9,Zyryanka,RU,65.75,150.85,-42.95,99,91,3.04,overcast clouds
10,Nikolskoye,RU,59.7035,30.7861,7.39,98,100,2.71,overcast clouds
11,Jati,PK,24.3539,68.2671,64.98,24,0,9.95,clear sky
12,Rio Gallegos,AR,-51.6226,-69.2181,59.05,58,40,16.11,scattered clouds
13,Changji,CN,44.0167,87.3167,27.39,74,100,2.24,smoke
14,Soubre,CI,5.7856,-6.6083,72.7,98,28,2.33,scattered clouds
15,Vaini,TO,-21.2,-175.2,82.56,83,20,9.22,few clouds
16,Codrington,AU,-38.2667,141.9667,61.75,44,36,16.44,scattered clouds
17,Albany,US,42.6001,-73.9662,41.52,70,99,1.01,overcast clouds
18,Mataura,NZ,-46.1927,168.8643,66.47,32,6,3.31,clear sky
19,Paamiut,GL,61.994,-49.6678,17.15,76,99,7.38,overcast clouds
20,Hobart,AU,-42.8794,147.3294,59.05,65,75,1.01,broken clouds
21,Ribeira Grande,PT,38.5167,-28.7,64.54,86,91,16.37,overcast clouds
22,Isugod,PH,9.3408,118.1196,84.27,64,32,4.9,scattered clouds
23,Biak,ID,-0.9131,122.8766,83.48,70,100,2.15,overcast clouds
24,Camacupa,AO,-12.0167,17.4833,61.09,92,97,2.21,light rain
25,Amapa,BR,1.0,-52.0,72.18,99,53,2.17,broken clouds
26,Touros,BR,-5.1989,-35.4608,77.9,76,26,12.8,scattered clouds
27,Hilo,US,19.7297,-155.09,76.73,88,90,5.75,moderate rain
