City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Samoded,RU,2021-12-04 12:33:50,63.6083,40.5111,4.24,83,100,11.63
1,Esmeraldas,BR,2021-12-04 12:33:50,-19.7625,-44.3139,75.31,68,40,8.32
2,Thompson,CA,2021-12-04 12:33:51,55.7435,-97.8558,-12.84,77,90,3.44
3,Rikitea,PF,2021-12-04 12:33:51,-23.1203,-134.9692,75.52,75,56,12.35
4,Ushuaia,AR,2021-12-04 12:32:16,-54.8,-68.3,53.22,50,0,6.91
5,Clyde River,CA,2021-12-04 12:33:51,70.4692,-68.5914,10.63,85,100,28.77
6,Kupang,ID,2021-12-04 12:33:51,-10.1667,123.5833,81.18,89,20,1.14
7,Arraial Do Cabo,BR,2021-12-04 12:33:52,-22.9661,-42.0278,80.56,61,40,8.05
8,Hambantota,LK,2021-12-04 12:33:52,6.1241,81.1185,80.94,94,20,3.44
9,Olafsvik,IS,2021-12-04 12:33:52,64.8945,-23.7142,36.57,75,96,10.2
10,Saskylakh,RU,2021-12-04 12:33:53,71.9167,114.0833,-19.21,97,100,7.85
11,Baruun-Urt,MN,2021-12-04 12:33:53,46.6806,113.2792,24.85,35,7,18.19
12,Liku,ID,2021-12-04 12:33:53,-0.7275,119.8922,76.84,87,100,1.1
13,Punta Arenas,CL,2021-12-04 12:30:48,-53.15,-70.9167,51.91,82,75,10.36
14,Chokurdakh,RU,2021-12-04 12:33:54,70.6333,147.9167,-37.82,98,89,5.73
15,Camenca,MD,2021-12-04 12:33:54,48.0319,28.6978,38.08,49,0,4.07
16,Semnan,IR,2021-12-04 12:33:54,35.5729,53.3971,46.27,51,5,2.01
17,Hithadhoo,MV,2021-12-04 12:33:55,-0.6,73.0833,81.57,80,81,13.87
18,Hermanus,ZA,2021-12-04 12:33:55,-34.4187,19.2345,70.81,63,100,20.42
19,Klamath Falls,US,2021-12-04 12:31:55,42.2249,-121.7817,36.88,93,90,0.0
20,Belmonte,BR,2021-12-04 12:33:55,-15.8631,-38.8828,82.9,78,18,5.61
21,Yulara,AU,2021-12-04 12:33:56,-25.2406,130.9889,87.64,25,100,20.71
22,Kamina,CD,2021-12-04 12:33:56,-8.7386,24.9906,81.93,56,99,6.89
23,Fortuna,US,2021-12-04 12:33:56,40.5982,-124.1573,49.35,76,90,0.0
24,Ahipara,NZ,2021-12-04 12:33:56,-35.1667,173.1667,65.08,92,100,8.1
25,Kahului,US,2021-12-04 12:33:04,20.8947,-156.47,70.84,76,90,10.36
26,Zambezi,ZM,2021-12-04 12:33:57,-13.5432,23.1047,87.15,37,73,6.85
27,Anamur,TR,2021-12-04 12:33:57,36.0751,32.8369,68.02,58,72,10.71
28,Sinegorye,RU,2021-12-04 12:33:57,62.0788,150.477,-30.87,100,98,1.48
29,Mabaruma,GY,2021-12-04 12:33:58,8.2,-59.7833,79.2,84,92,3.31
